Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,Customer Ref,Qty-1,Qty-5,Qty-25,Part References,Value
"*** ERROR - PART '*' NOT FOUND FOR: ""NP6"," NP8""",,,,,,,,,
"*** ERROR - PART '*' NOT FOUND FOR: ""FPGA""",,,,,,,,,,
68602-112HLF,FCI,DK,609-3363-ND,CONN HEADER 12POS .100 STR 30AU,REF31,1,5,25,DIO,
MPZ1608S101A,TDK Corporation,DK,445-1564-1-ND,FERRITE CHIP 100 OHM 3A 0603,REF38,2,10,50,"L1, L2",
NLC453232T-100K-PF,TDK Corporation,DK,445-1956-1-ND,INDUCTOR WW PWR 10UH 550MA 10%,REF39,1,5,25,L3,
PJ-102B,CUI Inc,DK,CP-102B-ND,CONN POWER JACK 2.5MM PCB CIRC,REF12,1,5,25,J1,
0805YA103JAT2A,AVX Corporation,DK,478-1334-1-ND,CAP CER 0.01uF 16V 5% NP0 0805,REF6,5,25,125,"C10, C11, C12, C13, C31",0.01uF
0805YA103JAT2A,AVX Corporation,DK,478-1334-1-ND,CAP CER 0.01uF 16V 5% NP0 0805,REF6,1,5,25,C39,0.01uF
"*** ERROR - PART '*' NOT FOUND FOR: ""NP1", NP2, NP3, NP4," NP5""",,,,,,
LMK212SD104KG-T,Taiyo Yuden,DK,587-1134-1-ND,CAP CER 0.1UF 10V 10% 0805,REF3,19,95,475,"C2, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C25, C27, C29, C32, C33, C34, C35, C36",0.1uF
"*** ERROR - PART '*' NOT FOUND FOR: ""NP7"," NP9""",,,,,,,,,
ERJ-6GEYJ102V,Panasonic - ECG,DK,P1.0KACT-ND,RES 1.0K OHM 1/8W 5% 0805 SMD,REF33,2,10,50,"R1, R2",1K
C2012X7R1A105K,TDK Corporation,DK,445-1359-1-ND,CAP CER 1UF 10V 10% X7R 0805,REF4,4,20,100,"C24, C26, C28, C30",1uF
C2012X7R1A105K,TDK Corporation,DK,445-1359-1-ND,CAP CER 1UF 10V 10% X7R 0805,REF4,1,5,25,C40,1uF
ERJ-6ENF5101V,Panasonic - ECG,DK,P5.10KCCT-ND,RES 5.10K OHM 1/8W 1% 0805 SMD,REF35,5,25,125,"R8, R10, R12, R14, R16",4k
ERJ-6ENF1022V,Panasonic - ECG,DK,P10.2KCCT-ND,RES 10.2K OHM 1/8W 1% 0805 SMD,REF36,5,25,125,"R9, R11, R13, R15, R17",8k
ERJ-6GEYJ103V,Panasonic - ECG,DK,P10KACT-ND,RES 10K OHM 1/8W 5% 0805 SMD,REF34,3,15,75,"R3, R4, R5",10K
F951C106MPAAQ2,Nichicon,DK,493-2940-1-ND,CAP TANT 10UF 16V 20% 0805,REF5,8,40,200,"C3, C4, C5, C6, C7, C8, C9, C38",10uF
22-23-2021,Molex Inc,DK,WM4200-ND,CONN HEADER 2POS .100 VERT TIN,REF18,1,5,25,PSW,22-23-2021
22-23-2041,Molex Inc,DK,WM4202-ND,CONN HEADER 4POS .100 VERT TIN,REF17,2,10,50,"ENC-A, ENC-B",22-23-2041
"74HC595DB,112",NXP Semiconductors,DK,568-2720-5-ND,IC 8BIT SHIFT REGISTER 16-SSOP,REF21,2,10,50,"U12, U13",74HC595DB
ERJ-6GEYJ101V,Panasonic - ECG,DK,P100ACT-ND,RES 100 OHM 1/8W 5% 0805 SMD,REF32,2,10,50,"R6, R7",100R
ERJ-6ENF1600V,Panasonic - ECG,DK,P160CCT-ND,RES 160 OHM 1/8W 1% 0805 SMD,REF37,4,20,100,"R18, R19, R20, R21",160
"74LVC1G3157GW,125",NXP Semiconductors,DK,568-7765-1-ND,IC MUX/DEMUX 2X1 SC88,REF10,4,20,100,"U14, U15, U16, U17",741G3157DBVR
